CANADA ENERGY REGULATOR - REGULATORY INSTRUMENTS REPORT - SEPTEMBER 2014 TO 30 SEPTEMBER 2019,,,,,,,,,,,,,,
File Number,"Regulatory 
Instrument 
Number",Issued To Company,"Board 
Item Identifier",,"Issued 
Date","Effective 
Date","Expire 
Date",Sunset Date,"Gic 
Approval 
Required","Sent To
Minister 
Date","Minister To 
Privy Council 
Office Date","Privy Council
Office Approval 
Number","Privy Council 
Office Approval 
Date","Reg Docs 
Number"
OF-Fac-Gas-N081-2019-01 02,Letter,NOVA Gas Transmission Ltd.,,9/17/2019,9/17/2019,9/17/2019,,,No,,,,,C01682
OF-Fac-Gas-M182-2019-02 01,Letter,"Many Islands Pipe Lines 
(Canada) Limited ",190917.1,9/17/2019,9/17/2019,,,,No,,,,,C01678
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,9/16/2019,9/17/2019,9/17/2019,,,No,,,,,C01672
OF-Surv-Gen-DIO 01,Letter,National Energy Board,190916.2,9/16/2019,9/16/2019,,,,No,,,,,
OF-EI-Gas-GO-P386 01,GO-100-2019,PacifiCorp ,190916.1,9/16/2019,9/16/2019,10/15/2019,10/14/2021,,No,,,,,C01665
OF-EI-Gas-GO-P386 01,GO-101-2019,PacifiCorp,190916.1,9/16/2019,9/16/2019,10/15/2019,10/14/2021,,No,,,,,C01665
OF-Fac-Oil-T260-2013-03 63,Letter,Trans Mountain Pipeline ULC,,9/16/2019,9/16/2019,,,,No,,,,,C01667
OF-Fac-Gas-N081-2013-10 03,GPMO-006-2019,NOVA Gas Transmission Ltd.,190913.2,9/13/2019,9/13/2019,9/13/2019,,,No,,,,,C01632
OF-Fac-Gas-N081-2017-05 01,GPMO-005-2019,NOVA Gas Transmission Ltd.,190913.1,9/13/2019,9/13/2019,9/13/2019,,,No,,,,,C01631
OF-Fac-Oil-T260-2013-03 61,MO-042-2019,Trans Mountain Pipeline ULC,,9/13/2019,9/13/2019,9/13/2019,,,No,,,,,C01620
OF-Fac-ElecGen-PLDP 01,Letter,Multi Client,,9/12/2019,9/13/2019,9/13/2019,,,No,,,,,C01613
OF-Fac-ElecGen-PLDP 01,Letter,Multi Client,,9/12/2019,9/13/2019,9/13/2019,,,No,,,,,C01613
OF-Fac-ElecGen-PLDP 01,MO-040-2019,Multi Client,,9/12/2019,9/13/2019,9/13/2019,,,No,,,,,C01613
OF-Fac-ElecGen-PLDP 01,MO-041-2019,Multi Client,,9/12/2019,9/13/2019,9/13/2019,,,No,,,,,C01613
OF-EI-Gas-LNG-T300 01,GO-098-2019,True North Energy Corporation,190912.1,9/12/2019,9/12/2019,9/14/2019,9/13/2021,,No,,,,,C01607
OF-EI-Gas-LNG-T300 01,GO-099-2019,True North Energy Corporation,190912.1,9/12/2019,9/12/2019,9/14/2019,9/13/2021,,No,,,,,C01607
OF-Fac-Gas-N081-2018-03 02,Letter,NOVA Gas Transmission Ltd.,,9/12/2019,9/12/2019,,,,No,,,,,C01605
OF-Fac-Gas-N081-2018-14 01,Letter,NOVA Gas Transmission Ltd.,190911.1,9/11/2019,9/11/2019,9/11/2019,,,No,,,,,C01585
OF-Fac-Gas-N081-2018-03 02,Letter,NOVA Gas Transmission Ltd.,,9/11/2019,9/11/2019,,,,No,,,,,C01576
OF-EI-Gas-GO-I034 01,GO-097-2019,Idaho Power Company,190910.1,9/10/2019,9/10/2019,10/10/2019,10/9/2021,,No,,,,,C01573
OF-Tolls-Group1-E101-TFGen 01,Letter,Enbridge Pipelines Inc.,190910.2,9/10/2019,9/10/2019,,,,No,,,,,C01571
OF-Surv-Gen-DIO 01,Letter,National Energy Board,190909.1,9/9/2019,9/9/2019,,,,No,,, ,,
OF-EI-Gas-GO-D122 01,GO-096-2019,Direct Energy Marketing Limited,190909.3,9/9/2019,9/9/2019,1/1/2020,12/31/2021,,No,,,,,C01547
OF-Fac-Gas-N081-2013-10 03,GPLO-022-2019,NOVA Gas Transmission Ltd.,190909.2,9/9/2019,9/9/2019,9/9/2019,,,No,,,,,C01551
OF-Fac-Oil-E101-2012-10 02,Letter,Enbridge Pipelines Inc.,190906.2,9/6/2019,9/6/2019,,,,No,,,,,C01531
OF-Fac-Gas-N081-2018-02 01,Letter,"CP Energy Marketing Inc., as General Partner, 
on behalf of/en tant que commanditÇ au nom 
de CP Energy Marketing L.P.",190906.1,9/6/2019,9/6/2019,,,,No,,,,,C01533
OF-Fac-Gas-N081-2013-10 02,GPLO-021-2019,NOVA Gas Transmission Ltd.,190905.1,9/5/2019,9/5/2019,9/5/2019,,,No,,,,,C01499
OF-Fac-Gas-A174-2018-03 01,ZO-A174-007-2019,"AltaGas Holdings Inc. for and 
on behalf of AltaGas Pipeline Partnership",,8/26/2019,9/5/2019,9/5/2019,9/7/2021,9/7/2021,No,,,,,"C01494, C01271"
OF-Fac-Gas-N081-2018-25 01,GPMO-004-2019,NOVA Gas Transmission Ltd.,190905.2,9/5/2019,9/5/2019,9/5/2019,,,No,,,,,C01498
OF-EI-Gas-PB-ST-P124 01,EBU-068-2019,Phillips 66 Company,190903.1,9/4/2019,9/4/2019,9/4/2019,12/31/2019,,No,,,,,C01448
OF-EI-Gas-GOL-T281 01,GOL-008-2019,"Twin Eagle Resource Management Canada, LLC",190903.2,9/4/2019,9/4/2019,9/4/2019,8/31/2021,,No,,,,,C01449
OF-Surv-CA-T217-2019-01 01,Letter,Trans-Northern Pipelines Inc.,190904.1,9/4/2019,9/4/2019,,,,No,,,,,
OF-Fac-Oil-T260-2013-03 63,Letter,Trans Mountain Pipeline ULC,190904.2,9/4/2019,9/4/2019,,,,No,,,,,C01450
OF-Fac-Oil-T260-2013-03 60,Letter,Trans Mountain Pipeline ULC,,8/23/2019,8/30/2019,8/30/2019,,,No,,,,,C01407
OF-Surv-Inc-2010 34,Letter,Trans-Northern Pipelines Inc.,190827.2,8/26/2019,8/27/2019,8/27/2019,,,No,,,,,
OF-Surv-Gen-T217 01,Letter,Trans-Northern Pipelines Inc.,190827.2,8/26/2019,8/27/2019,8/27/2019,,,No,,,,,
OF-Tolls-Group1-E101-TFGen 01,Letter,Enbridge Pipelines Inc.,190827.7,8/27/2019,8/27/2019,,,,No,,,,,C01280
OF-Fac-Oil-T260-2013-03 17,Letter,Trans Mountain Pipeline ULC,,8/23/2019,8/27/2019,,,,No,,,,,C01278
OF-Fac-Oil-T260-2013-03 17,Letter,Trans Mountain Pipeline ULC,,8/27/2019,8/27/2019,,,,No,,,,,
OF-Fac-Gas-N081-2018-02 01,GPLO-N081-020-2019,NOVA Gas Transmission Ltd.,190827.4,8/27/2019,8/27/2019,8/27/2019,,,No,,,,,C01276
OF-Fac-Oil-E101-2018-01 01,Letter,Enbridge Pipelines Inc.,190827.6,8/27/2019,8/27/2019,,,,No,,,,,C01273
OF-EI-Gas-GL-P739-2018-01 01,RO-GL-339,Petrogas Energy Corp.,,8/27/2019,8/27/2019,8/27/2019,,,No,,,,,C01236
OF-Fac-Gas-N081-2018-17 01,Letter,NOVA Gas Transmission Ltd.,190827.8,8/27/2019,8/27/2019,,,,No,,,,,C01272
OF-Fac-Gas-N081-2018-17 01,AO-001-XG-N081-001-2019,NOVA Gas Transmission Ltd.,190827.8,8/27/2019,8/27/2019,8/27/2019,,,No,,,,,C01272
OF-Fac-Oil-T260-2018-01 01,AO-001-MO-011-2019,Trans Mountain Pipeline ULC,,8/26/2019,8/27/2019,8/27/2019,,,No,,,,,C01227
OF-Fac-Gas-W102-2019-01 01,MO-038-2019,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",,8/27/2019,8/27/2019,8/27/2019,2/24/2020,,No,,,,,C01210
OF-Fac-Gas-B258-2019-01 01,AO-001-ZO-B258-004-2019,Bellatrix Exploration Ltd.,,8/27/2019,8/27/2019,8/27/2019,,,No,,,,,C01269
OF-Fac-Gas-N081-2019-01 02,Letter,NOVA Gas Transmission Ltd.,,8/27/2019,8/27/2019,8/27/2019,,,No,,,,,C01229
OF-Fac-Gas-N081-2019-02 02,Letter,NOVA Gas Transmission Ltd.,,8/23/2019,8/27/2019,8/27/2019,,,No,,,,,C01254
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,8/27/2019,8/27/2019,8/27/2019,,,No,,,,,C01279
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,8/27/2019,8/27/2019,8/27/2019,,,No,,,,,C01274
OF-Fac-Oil-T260-2013-03 63,Letter,Trans Mountain Pipeline ULC,,8/27/2019,8/27/2019,8/27/2019,,,No,,,,,C01240
OF-Fac-Oil-T260-2013-03 63,Letter,Trans Mountain Pipeline ULC,,8/27/2019,8/27/2019,8/27/2019,,,No,,,,,C01281
OF-Fac-Gas-N081-2018-01 02,Letter,NOVA Gas Transmission Ltd.,190827.5,8/27/2019,8/27/2019,8/27/2019,,,No,,,,,C01265
OF-Fac-Oil-K077-2016-01 01,Letter,Kinder Morgan Cochin ULC,,8/25/2019,8/26/2019,8/26/2019,,,No,,,,,C01183
OF-Gen 06 - FRR,Letter,National Energy Board,,8/21/2019,8/26/2019,8/26/2019,,,No,,,,,"C01213, C01215, C01216, C01217, C01218, C01219, C01220, C01221, C01222, C01223, C01224, C01225"
OF-Fac-Oil-E101-2014-11 03,Letter,Enbridge Pipelines Inc. ,,8/26/2019,8/26/2019,8/26/2019,,,No,,,,,C01211
OF-Fac-Oil-T260-2013-03 59,AO-001-OC-065,Trans Mountain Pipeline ULC,,7/19/2019,8/26/2019,8/21/2019,,,Yes,7/22/2019,7/22/2019,2019-1237,8/21/2019,C01194
OF-Fac-Oil-T260-2013-03 59,AO-002-OC-065,Trans Mountain Pipeline ULC,,7/19/2019,8/26/2019,8/21/2019,,,Yes,7/22/2019,7/22/2019,2019-1238,8/21/2019,C01194
OF-Fac-Oil-T260-2013-03 59,AO-003-OC-065,Trans Mountain Pipeline ULC,,7/19/2019,8/26/2019,8/21/2019,,,Yes,7/22/2019,7/22/2019,2019-1239,8/21/2019,C01194
OF-Fac-Oil-T260-2013-03 59,AO-004-OC-065,Trans Mountain Pipeline ULC,,7/19/2019,8/26/2019,8/21/2019,,,Yes,7/22/2019,7/22/2019,2019-1240,8/21/2019,C01194
OF-Fac-Oil-T260-2013-03 59,AO-005-OC-065,Trans Mountain Pipeline ULC,,7/19/2019,8/26/2019,8/21/2019,,,Yes,7/22/2019,7/22/2019,2019-1241,8/21/2019,C01194
OF-Fac-Oil-T260-2013-03 59,AO-006-OC-065,Trans Mountain Pipeline ULC,,7/19/2019,8/26/2019,8/21/2019,,,Yes,7/22/2019,7/22/2019,2019-1242,8/21/2019,C01194
OF-Fac-Oil-T260-2013-03 59,AO-007-OC-065,Trans Mountain Pipeline ULC,,7/19/2019,8/26/2019,8/21/2019,,,Yes,7/22/2019,7/22/2019,2019-1243,8/21/2019,C01194
OF-Fac-Gas-N081-2019-01 02,Letter,NOVA Gas Transmission Ltd.,,8/26/2019,8/26/2019,8/26/2019,,,No,,,,,C01205
OF-Fac-Gas-N081-2019-02 02,Letter,NOVA Gas Transmission Ltd.,,8/26/2019,8/26/2019,,,,No,,,,,C01209
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,8/26/2019,8/26/2019,8/26/2019,,,No,,,,,C01208
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,8/26/2019,8/26/2019,8/26/2019,,,No,,,,,C01190
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,8/26/2019,8/26/2019,8/26/2019,,,No,,,,,C01191
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,8/26/2019,8/26/2019,8/26/2019,,,No,,,,,C01208
OF-Fac-Gas-N081-2017-22 01,GPSO-N081-022-2019,NOVA Gas Transmission Ltd.,190823.3,8/23/2019,8/23/2019,8/23/2019,,,No,,,,,C01177
OF-Fac-Gas-W102-2018-07 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",,8/22/2019,8/23/2019,8/23/2019,,,No,,,,,C01153
OF-Fac-Gas-O115-2018-01 01,ZO-O115-006-2019,Obsidian Energy Ltd.,,8/23/2019,8/23/2019,8/23/2019,8/24/2021,8/24/2021,No,,,,,C01173
OF-Fac-Gas-H109-2018-01 01,AO-002-XG-R56-44-97,Husky Oil Operations Limited,190823.2,8/23/2019,8/23/2019,8/23/2019,,,No,,,,,C01175
OF-Fac-Gas-H109-2018-01 01,XG-B271-020-2019,Bow River Energy Ltd.,190823.2,8/23/2019,8/23/2019,8/23/2019,,,No,,,,,C01175
OF-Fac-Gas-H109-2018-01 01,MO-039-2019,Bow River Energy Ltd.,190823.2,8/23/2019,8/23/2019,8/23/2019,11/21/2019,,No,,,,,C01175
OF-Fac-Oil-T309-2016-01-Leg 01,Letter,TEML Westspur Pipelines Limited,190823.1,8/23/2019,8/23/2019,8/23/2019,,,No,,,,,C01176
OF-Fac-IPL-B215-Leg 01,Letter,"British Columbia Hydro and
Power Authority",190823.5,8/23/2019,8/23/2019,8/23/2019,,,No,,,,,
OF-Fac-IPL-B215-Leg 01,Letter,"British Columbia Hydro and 
Power Authority",190823.6,8/23/2019,8/23/2019,8/23/2019,,,No,,,,,
OF-Fac-Oil-T260-2013-03 63,Letter,Trans Mountain Pipeline ULC,,8/23/2019,8/23/2019,8/23/2019,,,No,,,,,"C01164, C01167"
OF-Fac-IPL-M180-2015-01 02,Letter,"Manitoba Hydro-Electric Board - 
RÇgie de l'hydro-ÇlectricitÇ du Manitoba",,8/22/2019,8/22/2019,8/22/2019,,,No,,,,,C01134
OF-Fac-Gas-N081-2017-11 01,GPSO-N081-021-2019,NOVA Gas Transmission Ltd.,190822.1,8/22/2019,8/22/2019,8/22/2019,,,No,,,,,C01142
OF-Fac-Gas-N081-2018-03 02,Letter,NOVA Gas Transmission Ltd.,,8/22/2019,8/22/2019,8/22/2019,,,No,,,,,C01136
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,8/22/2019,8/22/2019,8/22/2019,,,No,,,,,C01144
Ad-GA-ActsLeg-Fed-MOD-Imp 04,Letter,National Energy Board,,8/22/2019,8/22/2019,8/22/2019,,,No,,,,,
OF-EI-Gas-GOL-E293 01,GOL-006-2019,"ENGIE Energy Marketing NA, Inc.",190815.1,8/15/2019,8/22/2019,9/1/2019,10/31/2021,,No,,,,,C01032
OF-Fac-IPL-H117 02,Letter,Hydro One Networks Inc.,190821.3,8/21/2019,8/21/2019,8/21/2019,,,No,,,,,C01129
OF-Fac-Gas-P773-2019-01 01,AO-001-MO-035-2019,Pine Cliff Energy Ltd.,,8/21/2019,8/21/2019,8/21/2019,,,No,,,,,C01127
OF-Fac-Gas-P773-2019-01 01,Letter,Pine Cliff Energy Ltd.,190821.2,8/21/2019,8/21/2019,8/21/2019,,,No,,,,,C01127
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,8/21/2019,8/21/2019,8/21/2019,,,No,,,,,C01126
OF-Fac-Gas-N081-2019-08 01,Letter,NOVA Gas Transmission Ltd.,190821.1,8/21/2019,8/21/2019,8/21/2019,,,No,,,,,C01123
OF-Fac-Oil-W170-2018-01 01,Letter,Enbridge Pipelines Inc.,,8/20/2019,8/20/2019,8/20/2019,,,No,,,,,C01102
OF-Fac-Gas-N081-2018-12 01,Letter,NOVA Gas Transmission Ltd.,190820.3,8/20/2019,8/20/2019,8/20/2019,,,No,,,,,C01107
OF-Fac-Gas-N081-2018-12 01,AO-003-XG-N081-029-2018,NOVA Gas Transmission Ltd.,,8/20/2019,8/20/2019,8/20/2019,,,No,,,,,C01107
OF-Fac-Gas-M182-2019-03 01,Letter,"Many Islands Pipe Lines 
(Canada) Limited",190820.1,8/20/2019,8/20/2019,8/20/2019,,,No,,,,,C01104
OF-Fac-Gas-N081-2019-09 01,Letter,NOVA Gas Transmission Ltd.,190820.2,8/20/2019,8/20/2019,8/20/2019,,,No,,,,,C01106
OF-Tolls-Group1-E101-TFGen 01,Letter,Enbridge Pipelines Inc.,190819.1,8/19/2019,8/19/2019,8/19/2019,,,No,,,,,C01089
OF-Fac-Gas-W102-2018-02 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",,8/15/2019,8/19/2019,8/19/2019,,,No,,,,,C01088
OF-Fac-Oil-E101-2014-11 03,Letter,Enbridge Pipelines Inc.,,8/16/2019,8/16/2019,8/16/2019,,,No,,,,,C01068
OF-Fac-Gas-N081-2017-22 01,GPSO-N081-020-2019,NOVA Gas Transmission Ltd.,190816.1,8/16/2019,8/16/2019,8/16/2019,,,No,,,,,C01060
OF-Fac-Gas-N081-2018-20 01,Letter,NOVA Gas Transmission Ltd.,190816.3,8/16/2019,8/16/2019,8/16/2019,,,No,,,,,C01054
OF-Fac-Gas-N081-2019-01 02,Letter,NOVA Gas Transmission Ltd.,,8/16/2019,8/16/2019,8/16/2019,,,No,,,,,C01056
OF-Fac-Gas-N081-2019-01 02,Letter,NOVA Gas Transmission Ltd.,,8/16/2019,8/16/2019,8/16/2019,,,No,,,,,C01065
OF-Fac-Gas-N081-2019-01 02,Letter,NOVA Gas Transmission Ltd.,,8/16/2019,8/16/2019,8/16/2019,,,No,,,,,C01067
OF-Fac-Gas-N081-2019-02 02,Letter,NOVA Gas Transmission Ltd.,,8/16/2019,8/16/2019,8/16/2019,,,No,,,,,C01057
OF-Fac-Gas-N081-2018-01 02,Letter,NOVA Gas Transmission Ltd.,190816.2,8/16/2019,8/16/2019,8/16/2019,,,No,,,,,C01062
OF-Fac-Gas-N081-2013-10 03,GPLO-N081-019-2019,NOVA Gas Transmission Ltd.,190815.3,8/15/2019,8/15/2019,8/15/2019,,,No,,,,,C01040
OF-Fac-Gas-W102-2018-11 01,AO-001-XG-W102-011-2019,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",,8/15/2019,8/15/2019,8/15/2019,,,No,,,,,C01021
OF-Fac-Gas-W102-2018-11 01,Letter,"Westcoast Energy Inc., carrying on business as 
Spectra Energy Transmission",190815.5,8/15/2019,8/15/2019,8/15/2019,,,No,,,,,C01021
OF-Fac-Gas-N740-2018-01 01,AO-004-XG-M267-003-2008,"NorthRiver Midstream G and P Canada Pipelines Inc.,
as general partner and on behalf of NorthRiver Midstream 
G and P Canada Pipelines Limited Partnership",190815.4,8/15/2019,8/15/2019,8/15/2019,,,No,,,,,C01031
OF-Fac-Gas-N739-2018-01 01,AO-004-XG-D66-56-99,"NorthRiver Midstream Canada Partner Limited, 
as general partner and on behalf of NorthRiver 
Midstream Canada LP",190815.4,8/15/2019,8/15/2019,8/15/2019,,,No,,,,,C01030
OF-EI-Gas-GOL-E293 01,GOL-007-2019,"ENGIE Energy Marketing NA, Inc.",190815.2,8/15/2019,8/15/2019,9/1/2019,10/31/2021,,No,,,,,C01020
OF-Fac-Gas-N081-2017-11 01,GPSO-N081-018-2019,NOVA Gas Transmission Ltd.,190814.1,8/14/2019,8/14/2019,8/14/2019,,,No,,,,,C01001
OF-Fac-Gas-N081-2017-11 01,GPSO-N081-019-2019,NOVA Gas Transmission Ltd.,190814.2,8/14/2019,8/14/2019,8/14/2019,,,No,,,,,C00995
OF-Fac-Gas-V042-2019-02 01,Letter,Vermilion Energy Inc.,,8/14/2019,8/14/2019,8/14/2019,,,No,,,,,C01002
Ad-GA-ActsLeg-Fed-CERA 01,Letter,Multi Client,190814.3,8/14/2019,8/14/2019,8/14/2019,,,No,,,,,
OF-Surv-Gen-T217 01,Letter,Trans-Northern Pipelines Inc.,190809.2,8/13/2019,8/13/2019,8/13/2019,,,No,,,,,
OF-Tolls-Group1-N081-2019-01 01,Letter,NOVA Gas Transmission Ltd.,,8/12/2019,8/13/2019,8/13/2019,,,No,,,,,C00973
OF-Fac-Oil-T260-2013-03 61,Letter,Trans Mountain Pipeline ULC,,8/13/2019,8/13/2019,8/13/2019,,,No,,,,,C00967
OF-Fac-Oil-K096-2018-01 01,OPLO-K096-007-2019,Kinder Morgan Utopia Ltd.,190812.2,8/12/2019,8/12/2019,8/12/2019,,,No,,,,,C00953
