,Company
175,Campus Energy Partners Operations Inc.
176,CanStates Gas Marketing
177,CanWest Gas Supply Inc
178,Canada Border Services Agency
179,Canada Energy Regulator
180,Canada Hibernia Holding Corp
181,Canada Imperial Oil Limited
182,Canada Inc.
183,Canada Limited
184,Canada Ltd
185,Canada Ltd.
186,Canada Stewart Energy Group Ltd.
187,Canadian Advantage Petroleum Corporation
188,Canadian Enterprise Gas Products Ltd
189,Canadian Enterprise Gas Products Ltd.
190,"Canadian Enterprise Gas Products, Ltd."
191,Canadian Forest Oil Ltd
192,Canadian Hunter Exploration Ltd
193,Canadian Hunter Exploration Ltd.
194,Canadian Hydrocarbons Marketing Inc
195,Canadian Natural Resources
196,Canadian Natural Resources Limited
197,Canadian Natural Resources by its Managing Partner Canadian Natural Resources Limited
198,Canadian Niagara Power Inc.
199,Canadian Oil Sands Limited
200,Canadian Oil Sands Limited for and behalf of Canadian Oil Sands Partnership
201,"Canadian-Montana Pipeline Company, Ltd."
202,Cangaz Ventures Inc
203,Canterra Energy Ltd
204,"Cargill Energy Trading Canada, Inc."
205,Cargill Incorporated
206,"Cargill Incorporated, Transport Fuels"
207,Cargill Limited
208,"Cargill-Alliant Energy Canada, LP"
209,Cartier Pipeline and Company Limited Partnership
210,Castleton Commodities Canada Inc.
211,Castleton Commodities Merchant Trading L.P.
212,Cedar  LNG Export Ltd.
213,Cedar East Advisory Ltd.
214,Cedars Rapids Transmission Company
215,Cenovus Border Pipelines Limited
216,Cenovus Energy Inc
217,Centennial Energy LLC
218,Center Oil Company
219,Centra Gas Manitoba Inc.
220,Centra Transmission Holdings Inc.
221,Central Hudson Gas & Electric Corporation
222,Central Hudson Gas & Electric Corporation (CH Energy Group Inc.)
223,Centre Lane Trading Ltd
224,Champion Pipe Line Corporation Limited
225,Champion Pipeline Corporation Limited
226,Changfeng Energy Inc
227,Chevron Alberta Gas Storage ULC
228,Chevron Canada Limited
229,Chevron Canada Limited (Products Division)
230,"Chevron Canada Limited, in its capacity as the Managing Partner of Chevron Canada Resources"
231,Chevron Canada R & M ULC
232,Chevron Canada Resources
233,"Chevron Canada Resources, a Partnership by its Managing Partner, Chevron Canada Limited"
234,Chevron Products Company
235,Chief Mountain Gas Co-op Ltd.
236,Chubu TT Energy Management Inc.
237,Cincinnati Gas & Electric Company
238,"Cinergy Marketing & Trading, LP (changed to Fortis Energy Marketing and Trading GP)"
239,Citadel Financial Products S.à.r.l
240,Citadel NGPE LLC
241,Citigroup Energy Canada ULC
242,Citigroup Energy Canada ULC.
243,Citius Enterprises Ltd.
244,Citizens Resources LLC
245,CityServiceValcon LLC
246,"Clean Energy, a California Corporation"
247,Coastal Gas Marketing Company
248,"Cobalt Capital Partners III, LLC"
249,Cochin Pipe Lines Ltd.
250,Cochin Pipe Lines Ltd. (Name change to Kinder Morgan Cochin ULC)
251,"Coffeyville Resources Refining & Marketing, LLC"
252,Colonial Gas Company
253,Colonial Gas Company d/b/a National Grid
254,Colonial Oil Industries Inc
255,Columbia Power Corporation
256,Command Power Corp.
257,Commandité gestion energy Windmill DREAM Québec inc.
258,Commandité Énergie Windmill DREAM Québec Inc
259,"Commerce Energy, Inc."
260,Concord Energy LLC
261,Conectiv Energy Supply Inc.
262,Connacher Oil and Gas Limited
263,Connecticut Natural Gas Corporation
264,Conoco Phillips Commercial NGL
265,ConocoPhillips Canada Energy Partnership (on behalf of ConocoPhillips Canada Resources Corp.)
266,ConocoPhillips Canada Limited
267,ConocoPhillips Canada Marketing & Trading ULC
268,ConocoPhillips Canada Marketing and Trading ULC
269,ConocoPhillips Canada Operations Ltd.
270,ConocoPhillips Canada Operations Ltd. As managing partner of ConocoPhillips Canada (BRC) Partnership
271,ConocoPhillips Canada Resources Corp
272,ConocoPhillips Canada Resources Corp as managing partner of ConocoPhillips Western Canada Partnership
273,ConocoPhillips Company
274,ConocoPhillips NGL Marketing Canada ULC
275,ConocoPhillips Western Canada Partnership
276,"Consolidated Edison Company of New York, Inc., on its own behalf and as agent for its affiliate Orange and Rockland Utilities, Inc."
277,Consolidated Edison Energy Inc
278,"Consolidated Edison Energy, Inc."
279,"Consolidated Edison Solutions, Inc."
280,"Constellation Energy Commodities Group, Inc (formerly Constellation Power Source)"
281,"Constellation Energy Commodities Group, Inc."
282,Constellation Energy Gas Choice LLC
283,"Constellation Energy Gas Choice, Inc."
284,Constellation Energy Services Inc
285,"Constellation NewEnergy Canada, Inc."
286,Constellation NewEnergy Inc.
287,Consumers Energy Company
288,Consumers' Co-operative Refineries Limited
289,Consumers' Gas (Canada) Ltd.
290,County of Vermilion River No.  Gas Utility
291,Crescent Point Energy Corp.
292,Crescent Point Resources Ltd
293,"Crowley LNG, Inc."
294,Crowley Petroleum Distribution Alaska LLC
295,CryoAlta Inc
296,Cryopeak LNG Solutions Corporation
297,Crystal Flash Limited Partnership of Michigan
298,Cyanamid Canada Pipeline Inc
299,DB Commodities Canada Ltd.
300,"DC Energy Dakota, LLC"
301,DC Energy LLC
302,DCP Midstream
303,DEGT Midstream Management Corporation
304,DK CANADA ENERGY ULC
305,DMEnergy Canada Inc.
306,DR Four Beat Energy Corp.
307,"DTE Energy Trading, Inc."
308,DTE Gas Company
309,Dartmouth Power Associates Limited Partnership
310,Dawn Gateway Pipeline General Partner Inc
311,Dead River Company
312,Delphi Energy Corp
313,Delphi Energy Corporation
314,Denali Canada
315,Dennis Bradford Mullins
316,"Detroit Edison Company, The"
317,Devon Canada Corporation
318,Devon Canada Crude Marketing Corporation
319,Direct Commodities Trading Inc.
320,"Direct Energy Business Marketing, LLC"
321,Direct Energy Marketing Inc.
322,Direct Energy Marketing Limited
323,Dome Kerrobert Pipeline Ltd.
324,Dome NGL Pipeline Ltd.
325,Dome NGL Pipelines Ltd.
326,Dome Petroleum Limited
327,Domtar Inc.
328,Dow Chemical Canada ULC
329,Duke Energy Empress Management Inc. (Changed to Spectra Energy Empress Management Inc.)
330,Duke Energy Field Services Canada L.P.
331,Duke Energy Gas Transmission
332,Duke Energy Marketing Canada Corp.
333,Duke Energy Marketing Canada Ltd.
334,"Duke Energy Ohio, Inc."
335,Dynasty Power Inc.
336,"Dynegy Gas Imports, LLC"
337,"Dynegy Power Marketing, Inc."
338,E.ON Global Commodities North America LLC
339,EDF Trading North America LLC
340,"EDF Trading North America, LLC"
341,"EM Energy Ohio, LLC"
342,"EM Energy Pennsylvania, LLC"
343,"ENGIE Energy Marketing NA, Inc."
344,ENMAX Energy Marketing Inc.
345,ENN Canada Corporation
346,EPCOR Merchant and Capital Inc.
347,EPLP Energy Services (Canada) Inc.
348,"Eagle Energy Partners I, L.P."
349,Eagle Rock Exploration Ltd
350,"East Coast Power and Gas, LLC"
351,Eastern Maine Electric Cooperative Inc
352,Echoex Energy Inc.
353,Elbow River Marketing Corp on behalf of Elbow River Marketing Limited Partnership
354,Elbow River Marketing Corp on behalf of Enlbow River Marketing Limited Partnership
355,Elbow River Marketing Limited Partnership
356,Elbow River Marketing Ltd.
357,Elbow River Marketing USA Ltd
358,Element Americas Inc.
359,Emera Brunswick Pipeline Company Ltd.
360,Emera Energy GP Inc. on behalf of Emera Energy LP (tranferred from Emera Energy Inc.)
361,Emera Energy Inc
362,Emera Energy Inc. (changed to Emera Energy GP Inc. on behalf of Emera Energy LP)
363,Emera Energy Services Inc.
364,EnCana Border Pipelines Limited
365,EnCana Corporation
366,EnCana Corporation (previously PanCanadian Energy Corp.)
367,EnCana Cypress Pipeline Ltd.
368,EnCana Ekwan Pipeline Inc.
369,EnCana Midstream & Marketing Partnership
370,EnCana Oil & Gas Co. Ltd.
371,EnCana Oil & Gas Ltd.
372,EnCana Oil & Gas Partnership
373,EnCana Suffield Gas Pipelines Inc.
374,Enable Energy Marketing Ltd
375,Enbridge Bakken Limited Partnership
376,"Enbridge Bakken Pipeline Company Inc., on behalf of Enbridge Bakken Pipeline Limited Partnership"
377,Enbridge G and P Canada Pipelines Inc.
378,Enbridge Gas Distribution Inc.
379,Enbridge Gas New Brunswick Limited Partnership by its general partner Enbridge Gas New Brunswick Inc
380,Enbridge Gas Services Inc
381,Enbridge Pipelines (NW) Inc.
382,Enbridge Pipelines (Westspur) Inc.
383,Enbridge Pipelines Inc.
384,Enbridge Pipelines Southern Lights GP Inc.
385,Enbridge Southern Lights GP Inc. (On behalf of Enbridge Southern Lights LP)
386,Encana Corporation
387,Enco Gas Ltd
388,"Endure Energy, L.L.C."
389,Enerchem International Inc
390,"Energetix DE, LLC"
391,Energetix Inc
392,Energy East Pipeline Ltd.
393,Energy Plus Natural Gas LLC
394,Energy Source Canada Inc
395,Energy Terminal Marketing LLC
396,Energy West Resources
397,"EnergyNorth Natural Gas, Inc."
398,Enerkon Resources Canada
399,Enermark Inc.
400,Enerplus Corporation acting on behalf of the Enerplus Partnership
401,"Engage Energy US, LP"
402,Engelhart CTP (US) LLC
403,"Enhanced Energy Services of America, LLC"
404,Enserco Energy Inc
405,Enserco Energy LLC
406,"Enserco Midstream, LLC"
407,Enstor Energy Services LLC
408,"Entergy-Koch Trading Canada, ULC"
409,Enviro Express Inc
410,Envision Resources Ltd. Co.
411,Equinor Marketing & Trading (US) Inc.
412,Equinor Natural Gas LLC
413,Essex Gas Company d/b/a National Grid
414,Esso Resources Canada Limited
415,Ethane Shippers Joint Venture (Windsor Storage Facility Joint Venture)
416,"Exelon Generation Company, LLC"
417,"Exelon Generation Company, LLC ""Exelon"""
418,Express Pipeline Ltd
419,Express Pipeline Ltd.
420,"Express Pipeline Ltd., as the general partner of Express Holdings (Canada) Limited Partnership"
421,ExxonMobil Canada Energy
422,ExxonMobil Canada Export Trading LLC
423,ExxonMobil Canada Ltd.
424,ExxonMobil Canada Properties
425,ExxonMobil Export Corporation
426,ExxonMobil Oil Corporation
427,Exxonmobil Sales and Supply LLC
428,FB Energy Canada Corp
429,FB Energy Canada Corp.
430,FET Energy Ltd.
431,FPL Energy Power Marketing Inc (changed name to NextEra Energy Power Marketing LLC)
432,Factor Energy (U.S.) Inc.
433,Factor Energy US Inc
434,Factor Gas Liquids Inc.
435,Family Energy Inc
436,Family Energy Inc.
437,Fathom Energy Inc
438,Federated Pipe Lines (Northern) Ltd
439,Ferrell North America
440,Ferus Natural Gas Fuels (CNG) LLC
441,"Ferus Natural Gas Fuels (CNG), LLC"
442,Ferus Natural Gas Fuels Inc.
443,Ferus Natural Gas Fuels LP
444,First Commodities International Inc. (changed name to First Commodities Ltd.)
445,First Commodities Ltd. (formerly First Commodities International Inc.)
446,Fletcher Challenge Energy Canada Inc.
447,Flint Hills Resources Canada ULC
448,"Flint Hills Resources Canada, LP"
449,"Flint Hills Resources Canada, LP, by its general partner, Flint Hills Resources Canada, ULC"
450,"Flint Hills Resources, LP"
451,Foothills Pipe Lines (Alberta) Ltd
452,Foothills Pipe Lines (South BC) Ltd
453,Foothills Pipe Lines (Yukon) Ltd
454,Foothills Pipe Lines Ltd
455,Fortis Energy Marketing and Trading GP (formerly Cinergy Marketing and Trading LP)
456,FortisBC Energy Inc. (Formerly Terasen Gas Inc.)
457,FortisBC Energy Inc. (formerly Terasen Gas Inc.)
458,FortisBC Huntingdon Inc
459,FortisBC Huntingdon Inc.
460,FortisBC Inc.( Formerly Aquila Networks Canada (BC) Ltd.)
461,FortisOntario Inc. (formerly Canadian Niagara Power Inc.)
462,Fortress Energy Inc
463,Forty Mile Gas Co-op Ltd.
464,Forty Miles Gas Co-op Ltd
465,"Four Sisters Petroleum,LLC"
466,Fraser Paper Inc.
467,Fraser Paper Inc. (Canada)
468,Freepoint Commodities LLC
469,Freepoint Commodities Trading and Marketing LLC
470,Frontier Oil & Refining Company
471,Fuelgarden LNG AS
472,GCL Ventures Ltd
473,"GDF SUEZ Energy Marketing NA, Inc."
474,GDF SUEZ Gas NA LLC
475,GEORGE E. WARREN LLC
476,GFL Environmental Inc.
477,GNL Québec Inc.
478,GOETZ ENERGY CORPORATION
479,"GRIZZLY OIL SANDS, ULC"
480,Gas Supply Resources Holdings Inc
481,Gas Supply Resources Inc
482,Gascana Inc.
483,Gavilon LLC
484,"Gavilon, LLC"
485,Gaz Metro Solutions Transport () inc a titre d'associee commanditee de Gaz Metro Solutions Transport S.E.C.
486,Gaz Métro / Gaz de France / Enbridge Inc.
487,Gaz Métro Solutions Transport SEC
488,Gaz naturel Tugliq Québec Inc.
489,Gazoduc Trans Quebec & Maritimes Inc
490,Genesis Pipeline Canada Ltd.
491,Georgia Strait Crossing Pipeline Limited
492,Gestion Énergie Québec inc
493,Gestion Énergie Québec inc.
494,Gibson Energy Partnership
495,Gibson Energy ULC
496,"Gibson Energy ULC, Managing Partner of Gibson Energy Partnership"
497,"Gibson Energy ULC, Managing Partner of Gibson Gas Liquids Partnership"
498,"Gibson Energy ULC, Managing Partner of MP Energy Partnership"
499,"Gibson Energy ULC, Managing Partners of Gibson Liquids Partnership"
500,Gibson Energy ULC. Managing Partner of Gibson Energy Partnership
501,"Gibson Gas Liquids, Managing Partner of Gibson Energy Partnership"
502,Glencoe Resources Ltd.
503,Glencore Ltd
504,Glencore Ltd.
505,Glenogle Energy Inc.
506,Global Companies LLC
507,Global Energy Marketing II LLC
508,Global Energy Marketing LLC
509,"Global Gas, Inc."
510,Global Partners Energy Canada ULC
511,Global Petroleum Marketing Inc
512,Gra Ham Energy Limited
513,Grand Trunk Western Railroad Company (formerly St. Clair Tunnel Company)
514,"Great Bay Energy VI, LLC"
515,Green Tech Finance Inc.
516,Greenergy Fuels Canada Inc.
517,"Greenfield Energy Centre LP, by its general partner CM Greenfield Power Corp."
518,Griffith Energy Inc
519,Gulf Canada Resources Limited
520,Gulf Oil Limited Partnership
521,Gulfstream Trading Ltd.
522,HO Power G.P. Inc. /Commandité HO Énergie Inc. on behalf of HO Power Limited Partnership /Société en Commandite HO Énergie
523,Hartland Fuel Products LLC
524,"Hartland Fuel Products, LLC"
525,Hartree Partners LP
526,Harvest Operations Corp.
527,Hawaii Independent Energy LLC
528,Heartland Generation Ltd.
529,Hess Canada Gas Ltd
530,Hess Corporation
531,"Hess Energy Marketing, LLC"
532,"Hess Energy Trading Company, LLC"
533,"High Desert Refining, LLC"
534,High Sierra Energy Canada ULC
535,Highlands Fuel Delivery LLC
536,Holly Refining and Marketing Company
537,HollyFrontier Companies
538,HollyFrontier Refining & Marketing LLC
539,Hostetler Midstream Consulting LLC
540,Houston Refining LP
541,Hudson Energy Company
542,Hunt Crude Oil Supply Company
543,Hunt Crude Oil Supply Company LLC
544,"Hunt Oil Company of Canada, Inc"
545,Huntingdon International Pipeline Corporation (HIPCO)
546,Huron Energy Corporation
547,Husky Energy Marketing Inc
548,Husky Energy Marketing Inc.
549,Husky Gas Marketing Inc.
550,Husky Marketing and Supply Company
551,Husky Oil Limited
552,Husky Oil Marketing Company
553,Husky Oil Operations Limited
554,Husky Oil Operations Ltd
555,Husky Oil Operations Ltd.
556,Hydro One Delivery Services Inc.
557,Hydro One Networks Inc.
558,Hydro-Quebec
559,Hydro-Québec
560,Hydro-Québec TransÉnergie
561,IGI Canada Corp
562,IGI Resources Inc
563,ISH Energy Ltd.
564,ITC Lake Erie Connector LLC
565,Iberdrola Canada Energy Services Inc
566,"Iberdrola Canada Energy Services, Inc."
567,"Iberdrola Canada Energy Services, Ltd"
568,"Iberdrola Energy Services, LLC"
569,Iberdrola Renewables Inc
570,Idaho Power Company
571,Idemitsu Apollo Corporation
572,Ikkuma Resouces Corp.
573,Ikkuma Resources Corp - (Formerly) Panterra Resource Corp.
574,Imperial Oil
575,Imperial Oil Limited
576,Imperial Oil Resources Limited
577,Imperial Oil Resources Limited in its capacity as general and limited partner of Imperial Oil Resources
578,Imperial Oil Resources Ventures Limited
579,Imperial Oil Resources Ventures Limited (Mackenzie Gas Project)
580,Imperial Pipeline Company Limited
581,Independent Electricity System Operator (IESO)
582,Inergy Propane LLC
583,"Infinite Energy, Inc."
584,Innovative Midstream Solutions Inc
585,Integrys Energy Services Inc
586,Integrys Energy Services of Canada Corp
587,"Integrys Energy Services of New York, Inc. (formerly Advantage Energy, Inc.)"
588,"Integrys Energy Services, Inc. (formerly WPS Energy Services, Inc.)"
589,InterCoastal Pipe Line Inc
590,International Chemical Company
591,International Paper Company
592,Interprovincial Pipe Line Limited
593,Interprovincial Pipeline (NW) Limited
594,Irving Oil Commercial GP
595,Irving Oil Limited on behalf of Irving Oil Commercial G.P.
596,Irving Oil MCC Limited
597,Irving Oil Operations General Partner Limited on behalf of Irving Oil Commercial G.P.
598,Irving Oil Operations General Partner Limited on behalf of Irving Oil Commercial LP
599,Irving Oil Operations Limited on behalf of Irving Oil Commercial GP
600,Irving Oil Terminals Inc
601,Irving Oil Terminals Inc.
602,Irving Oil Terminals Operations Inc
603,Irving Oil Terminals Operations Inc.
604,J Aron and Company
605,J P Morgan Commodities Canada Corporation
606,J P Morgan Ventures Energy Corporation
607,J.P. Morgan Commodities Canada Corporation (formerly Texas Power GP LLC)
608,J.P. Morgan Trading & Transportation Management LLC
609,J.P. Morgan Ventures Energy Corporation
610,JD Irving Limited
611,JP Morgan Commodities Canada Corporation
612,Jordan Cove LNG L.P.
613,Jupiter Resources Inc
614,Just Energy New York Corp.
615,Just Energy Ontario L.P. by and through its general partner Just Energy Corp.
616,Just Energy Ontario L.P. by through its general partner Just Energy Corp.
617,Just Energy Ontario LP
618,K L Case Energy LLC
619,KCES GP Ltd
620,KEYERA Energy Ltd.
621,KM LNG Operating General Partnership
622,Kaiser Exploration Ltd.
623,"Kempler & Co., Inc."
624,KeySpan Energy Canada Company
625,Keyera Corp. as a managing partner of Keyera Partnership
626,Keyera Energy Inc
627,Keyera Energy Inc.
628,Keyera Energy Limited Partnership
629,Keyera Energy Ltd.
630,Keyera Partnership by its GP Keyera Energy Management Ltd.
631,"Keyera Partnership, by its managing partner of Keyera Corp"
632,Keyspan Gas East Corporation d/b/a National Grid
633,"Kiesel Company, The"
634,Kildair Service Ltée
635,Kildair Service ULC
636,Kinder Morgan Cochin ULC
637,Kinder Morgan Cochin ULC (formerly Cochin Pipe Lines Ltd)
638,Kinder Morgan Utopia Ltd.
639,Kinder Morgan Utopia ULC
640,Kinetic Resources LPG
641,Kingston Midstream Limited
642,Kinsella Energy Ltd.
643,Kiros Energy Marketing ULC
644,Kitsault Energy Limited
645,Kitsault Energy Ltd
646,Koch Canada Energy Services LP
647,Koch Energy Services LLC
648,L & J Energy Systems Inc
649,LBX Pipeline Ltd.
650,LGP Energy Inc.
651,LNG Canada Development Inc.
652,LNGNext LLC
653,LOMAC Canada Ltd.
654,Lachine Partners LLC
655,Lakes Gas Co
656,Lakes Gas Co.
657,Lakeshore Pipeline Company LLC
658,"Lancaster Propane Gas, Inc."
659,Lansing NGL Services a Division of Lansing Trade Group LLC
660,"Lansing Trade Group, LLC"
661,Lehman Brothers Commodity Services Inc.
662,Les Produits Petroliers Norcan SENC/Norcan Petroleum Produccts GP
663,Les Pétroles S.I.R. Inc.
664,Liberty Utilities (EnergyNorth Natural Gas) Corp. d/b/a Liberty Utilities (Liberty Energy Utilities)
665,"Lighthouse Energy Trading Company, Inc."
666,Link Petroleum Inc
667,Lion Oil Trading & Transportation LLC
668,"Lion Oil Trading & Transportation, Inc."
669,"Lion Oil Trading and Transportation, LLC"
670,Liquiline LNG Solutions Corporation
671,Local Authority Services Ltd
672,Lochlan Energy Services LLC
673,Lone Pine Resources Canada Ltd.
674,Louis Dreyfus Energy Canada Inc.
675,Louis Dreyfus Energy Services L.P.
676,Louis Dreyfus Energy Services LP
677,Lukoil Pan Americas LLC
678,MAG Energy Solutions Inc.
679,MEG Energy Corp.
680,"MV Purchasing, LLC"
681,MX Petroleum Corp.
682,MXenergy Inc.
683,MacEwen Petroleum Inc
684,Mackenzie Delta Producers Group
685,Macquarie Commodities Trading Canada Ltd.
686,Macquarie Energy Canada Ltd
687,Macquarie Energy Canada Ltd.
688,Macquarie Oil Services Canada Ltd
689,Macquarie Resource Capital Canada Ltd.
690,Macquarie Trading Canada Ltd
691,Madstone Energy Corp.
692,Maine & New Brunswick Electrical Power Company Limited
693,Manito Pipelines Ltd
694,Manitoba Hydro
695,Manitoba Hydro-Electric Board
696,Manitoba Oil & Gas Corporation
697,Mansfield Power and Gas LLC
698,Many Islands Pipe Line (Canada) Limited
699,Many Islands Pipe Lines (Canada) Limited
700,Marathon Oil Canada Corporation
701,Marathon Petroleum Company LLC
702,Marathon Petroleum Company LP
703,Marathon Petroleum Trading Canada LLC
704,Marathon Power LLC
705,Marauder Resources West Coast Inc.
706,Maritime Electric Company Limited
707,Maritimes & Northeast Pipelines Ltd
708,Maritimes & Northeast Pipelines Management Ltd.
709,Maritimes NG Supply Limited Partnership
