,Company
55,"AltaGas DCLNG General Partner Inc., on behalf of AltaGas DCLNG Lease Limited Partnership"
56,AltaGas Energy Limited Partnership by its administrator AltaGas Ltd.
57,AltaGas Extraction and Transmission Limited Partnership
58,AltaGas Holdings Inc
59,AltaGas Holdings Inc.
60,AltaGas Holdings Inc.
61,AltaGas Holdings Inc. as general partner for and on behalf of AltaGas Extraction and Transmission Limited Partnership
62,AltaGas Holdings Inc. on behalf of AltaGas Extraction
63,AltaGas Holdings Inc. on behalf of AltaGas Pipeline Partnership
64,AltaGas LPG General Partner Inc. on behalf of AltaGas LPG Limited Partnership
65,Altagas Ltd
66,AltaGas Ltd.
67,AltaGas Ltd.
68,AltaGas Ltd.
69,AltaGas Suffield Pipeline Inc.
70,AltaGas Suffield Pipeline Inc.
71,AltaGas Transmission Ltd.
72,Altamont Gas Transmission Canada Limited
73,Altex Energy Ltd.
74,Altresco Pittsfield L.P
75,AmeriGas Propane LP
76,Amerigas Propane LP
77,Amoco Canada Petroleum Company Ltd
78,Amoco Canada Petroleum Company Ltd
79,Androscoggin Energy LLC
80,AOT Energy Canada Inc
81,Apache Canada Ltd
82,Apache Canada Ltd.
83,Aquila Canada Capital and Trade Corp.
84,Aquila Capital and Trade Ltd.
85,Aquilon Power Ltd
86,ARB Midstream Logistics Canada ULC
87,Arbutus Point Marine Ltd.
88,ARC Resources General Partnership
89,ARC Resources Ltd
90,ARC Resources Ltd.
91,ARC Resources Ltd.
92,ArctiGas Resources Limited Partnership
93,"ARM ENERGY MANAGEMENT, LLC"
94,"Associated Energy Services, LP"
95,Astra Canada Resource Marketing Inc.
96,Astra Energy Canada Inc
97,Astra Energy Canada Inc
98,ATCO Power Ltd.
99,Atlantic Power Energy Services (Canada) Inc.
100,Atlantic Power Energy Services (Canada) Inc.
101,"Atlantic Trading & Marketing, Inc."
102,Aurora Liquefied Natural Gas Ltd.
103,Aurora Pipe Line Company
104,Aurora Pipe Line Company
105,Aurora Pipeline Company Ltd
106,Aurora Pipeline Company Ltd.
107,Aux Sable Canada Ltd
108,AUX Sable Liquid Products LP
109,Aux Sable Midstream LLC
110,Avista Corporation
111,"Avista Energy, Inc."
112,Avoca Energy Corp.
113,Axeon Marketing LLC
114,Axeon Specialty Products LLC
115,B01 - Alliance Pipeline Ltd
116,B02 - Enbridge Pipelines Inc.
117,B03 - Enbridge Pipelines (NW) Inc.
118,B04 - Foothills Pipeline Ltd
119,B05 - Kinder Morgan Cochin ULC
120,B06 - Maritimes & Northeast Pipeline LP
121,B07 - NOVA Gas Transmission Ltd.
122,B08 - Trans Mountain Pipeline ULC
123,B09 -TransCanada Keystone Pipelines GP Ltd.
124,B10 - TransCanada PipeLines Ltd.
125,B11 -Trans Quebec & Maritimes Pipeline Inc
126,B12 -Trans-Northern Pipelines Inc
127,"B13 - Westcoast Energy Inc., carrying on business as Spectra Energy Transmission"
128,Barclays Canadian Commodities Limited
129,Barclays Canadian Commodities Limited
130,Bay State Gas Company d/b/a Columbia Gas of Massachusetts (NiSource Inc.)
131,Bayshore Petroleum Corp.
132,BC Hydro and BCTC - Jointly
133,BC Hydro and Power Authority and BC Transmission Corporation - Jointly
134,BC LNG Export Co-operative LLC
135,Bear Head LNG Corporation
136,Bear Paw Processing Company Canada Ltd
137,Bellatrix Exploration Ltd.
138,Bellatrix Exploration Ltd.
139,Berens Energy Ltd.
140,Beyond Energy and Trade Inc.
141,"BG Energy Merchants Canada, Limited"
142,"BG Energy Merchants Canada, Limited"
143,"Big Apple Energy, LLC"
144,BioUrja Trading LLC
145,"Black Oak Capital, LLC"
146,BlackPearl Resources Inc.
147,Blue Roads Solutions LLC
148,"BlueRock Energy, INC."
149,"Bluewater Gas Storage, LLC"
150,BNP Paribas Energy Trading Canada Corp
151,BNP Paribas Energy Trading Canada Corp
152,BNP Paribas Energy Trading Canada Corp
153,BNP Paribas Energy Trading Canada Corp
154,BNP Paribas Energy Trading GP
155,BNP Paribas Energy Trading GP
156,BNP Paribas Energy Trading GP
157,BNP Paribas Energy Trading GP
158,"Boise White Paper, LLC"
159,Bonavista Energy Corporation
160,Bonavista Energy Corporation
161,Bonavista Energy Corporation
162,Bonavista Energy Corporation
163,Bonavista Petroleum Ltd
164,Bonavista Petroleum Ltd
165,Boss Energy LLC
166,Boston Gas Company
167,Boston Gas Company d/b/a National Grid
168,Boston Gas Company d/b/a National Grid
169,Bow River Energy Limited
170,Bow River Energy Ltd.
171,BP Canada Energy Company
172,BP Canada Energy Company
173,BP Canada Energy Company
174,BP Canada Energy Company
175,BP Canada Energy Company
176,BP Canada Energy Enterprises
177,BP Canada Energy Group ULC
178,BP Canada Energy Group ULC
179,BP Canada Energy Group ULC
180,BP Canada Energy Group ULC
181,BP Canada Energy Resources Company
182,BP Canada Energy Trading Company
183,BP Energy Company
184,BP Oil Supply
185,BP Products North America Inc.
186,BP Resources Canada Ltd
187,BP West Coast Products LLC
188,Bridger Energy Trading LLC
189,British Columbia Hydro and Power Authority
190,British Columbia Hydro and Power Authority (BC Hydro)
191,British Columbia Power Exchange Corporation (POWEREX)
192,British Columbia Transmission Corporation
193,Brookfield Energy Marketing Inc and Brookfield Energy Marketing Inc as General Partner on behalf of Brookfield Energy Marketing LP
194,Brookfield Energy Marketing Inc and Brookfield Energy Marketing Inc as General Partner on behalf of Brookfield Energy Marketing LP
195,Brookfield Energy Marketing Inc.
196,Brooklyn Navy Yard Cogeneration Partners
197,"Brooklyn Union Gas Company d/b/a National Grid, The"
198,Bruce Power Inc.
199,BTG Pactual Commodities (US) LLC
200,BTG Pactual Commodities (US) LLC
201,Burlington Resources Canada (Hunter) Ltd
202,Burlington Resources Canada (Hunter) Ltd.
203,Burnwell Gas of Canada Ltd
204,"C01020 National Energy Board - Order GOL-007-2019 to ENGIE Energy Marketing NA, Inc. authorizing the importation of gas for subsequent export"
205,"C01032 National Energy Board - Order G0L-006-2019 to ENGIE Energy Marketing NA, Inc. - Exportation of Gas for Subsequent Import"
206,CAL-GAS Inc
207,Calpine Canada Energy Corp.
208,Calpine Energy Services Canada Ltd.
209,Caltex Resources Ltd.
210,Caltex Resources Ltd.
211,Caltex Resources Ltd.
212,Calumet Superior LLC
213,Calumet Superior LLP
214,Campus Energy Partners Operations Inc.
215,CAMS Midstream Services ULC
216,Canada Border Services Agency
217,Canada Border Services Agency
218,Canada Border Services Agency
219,Canada Hibernia Holding Corp
220,Canada Imperial Oil Limited
221,Canada Imperial Oil Limited
222,Canada Imperial Oil Limited
223,Canada Stewart Energy Group Ltd.
224,Canada Stewart Energy Group Ltd.
225,Canadian Advantage Petroleum Corporation
226,Canadian Enterprise Gas Products Ltd
227,Canadian Enterprise Gas Products Ltd.
228,"Canadian Enterprise Gas Products, Ltd."
229,Canadian Forest Oil Ltd
230,Canadian Hunter Exploration Ltd
231,Canadian Hunter Exploration Ltd.
232,Canadian Hydrocarbons Marketing Inc
233,Canadian Natural Resources
234,Canadian Natural Resources
235,Canadian Natural Resources by its Managing Partner Canadian Natural Resources Limited
236,Canadian Natural Resources Limited
237,Canadian Natural Resources Limited
238,Canadian Natural Resources Limited
239,Canadian Natural Resources Limited
240,Canadian Natural Resources Limited
241,Canadian Niagara Power Inc.
242,Canadian Oil Sands Limited
243,Canadian Oil Sands Limited for and behalf of Canadian Oil Sands Partnership 1
244,CANADIAN WOOD PRODUCTS - MONTREAL INC.
245,"Canadian-Montana Pipeline Company, Ltd."
246,Cangaz Ventures Inc
247,CanStates Gas Marketing
248,Canterra Energy Ltd
249,CanWest Gas Supply Inc
250,"Cargill Energy Trading Canada, Inc."
251,Cargill Incorporated
252,Cargill Incorporated
253,"Cargill Incorporated, Transport Fuels"
254,Cargill Limited
255,"Cargill-Alliant Energy Canada, LP"
256,Cartier Pipeline and Company Limited Partnership
257,Castleton Commodities Canada Inc.
258,Castleton Commodities Canada Inc.
259,Castleton Commodities Canada Inc.
260,Castleton Commodities Merchant Trading L.P.
261,Castleton Commodities Merchant Trading L.P.
262,CC Energy Services LLC
263,Cedar 1 LNG Export Ltd.
264,Cedar 2 LNG Export Ltd.
265,Cedar 3 LNG Export Ltd.
266,Cedar East Advisory Ltd.
267,Cedars Rapids Transmission Company
268,Cenovus Border Pipelines Limited
269,Cenovus Border Pipelines Limited
270,Cenovus Energy Inc
271,Cenovus Energy Inc
272,Centennial Energy LLC
273,Centennial Energy LLC
274,Center Oil Company
275,Centra Gas Manitoba Inc.
276,Centra Gas Manitoba Inc.
277,Centra Transmission Holdings Inc.
278,Centra Transmission Holdings Inc.
279,Centra Transmission Holdings Inc.
280,Central Hudson Gas & Electric Corporation
281,Central Hudson Gas & Electric Corporation (CH Energy Group Inc.)
282,Centre Lane Trading Ltd
283,CEP Bitumen Blend Export Co
284,Champion Pipe Line Corporation Limited
285,Champion Pipeline Corporation Limited
286,Changfeng Energy Inc
287,Chevron Alberta Gas Storage ULC
288,Chevron Canada Limited
289,Chevron Canada Limited
290,Chevron Canada Limited
291,Chevron Canada Limited (Products Division)
292,Chevron Canada Limited (Products Division)
293,"Chevron Canada Limited, in its capacity as the Managing Partner of Chevron Canada Resources"
294,Chevron Canada R & M ULC
295,Chevron Canada R & M ULC
296,Chevron Canada Resources
297,Chevron Canada Resources
298,Chevron Canada Resources
299,"Chevron Canada Resources, a Partnership by its Managing Partner, Chevron Canada Limited"
300,Chevron Products Company
301,Chief Mountain Gas Co-op Ltd.
302,Chief Mountain Gas Co-op Ltd.
303,CHS Inc.
304,CHS Inc.
305,CHS McPherson Refinery Inc
306,Chubu TT Energy Management Inc.
307,Cincinnati Gas & Electric Company
308,"Cinergy Marketing & Trading, LP (changed to Fortis Energy Marketing and Trading GP)"
309,Citadel Financial Products S.à.r.l
310,Citadel NGPE LLC
311,Citigroup Energy Canada ULC
312,Citigroup Energy Canada ULC
313,Citigroup Energy Canada ULC
314,Citigroup Energy Canada ULC.
315,Citius Enterprises Ltd.
316,Citizens Resources LLC
317,CityServiceValcon LLC
318,CityServiceValcon LLC
319,"Clean Energy, a California Corporation"
320,CMS Energy Resource Management Company
321,Coastal Gas Marketing Company
322,"Cobalt Capital Partners III, LLC"
323,Cochin Pipe Lines Ltd.
324,Cochin Pipe Lines Ltd. (Name change to Kinder Morgan Cochin ULC)
325,"Coffeyville Resources Refining & Marketing, LLC"
326,Colonial Gas Company
327,Colonial Gas Company d/b/a National Grid
328,Colonial Oil Industries Inc
329,Columbia Power Corporation
330,Command Power Corp.
331,Commandité Énergie Windmill DREAM Québec Inc
332,Commandité gestion energy Windmill DREAM Québec inc.
333,Commandité gestion energy Windmill DREAM Québec inc.
334,"Commerce Energy, Inc."
335,Concord Energy LLC
336,Concord Energy LLC
337,Conectiv Energy Supply Inc.
338,Connacher Oil and Gas Limited
339,Connecticut Natural Gas Corporation
340,Conoco Phillips Commercial NGL
341,ConocoPhillips Canada Energy Partnership (on behalf of ConocoPhillips Canada Resources Corp.)
342,ConocoPhillips Canada Limited
343,ConocoPhillips Canada Marketing & Trading ULC
344,ConocoPhillips Canada Marketing and Trading ULC
345,ConocoPhillips Canada Marketing and Trading ULC
346,ConocoPhillips Canada Operations Ltd.
347,ConocoPhillips Canada Operations Ltd.
348,ConocoPhillips Canada Operations Ltd. As managing partner of ConocoPhillips Canada (BRC) Partnership
349,ConocoPhillips Canada Resources Corp
350,ConocoPhillips Canada Resources Corp as managing partner of ConocoPhillips Western Canada Partnership
351,ConocoPhillips Company
352,ConocoPhillips Company
353,ConocoPhillips NGL Marketing Canada ULC
354,ConocoPhillips Western Canada Partnership
355,"Consolidated Edison Company of New York, Inc., on its own behalf and as agent for its affiliate Orange and Rockland Utilities, Inc."
356,Consolidated Edison Energy Inc
357,"Consolidated Edison Energy, Inc."
358,"Consolidated Edison Solutions, Inc."
359,"Constellation Energy Commodities Group, Inc (formerly Constellation Power Source)"
360,"Constellation Energy Commodities Group, Inc."
361,Constellation Energy Gas Choice LLC
362,"Constellation Energy Gas Choice, Inc."
363,Constellation Energy Services Inc
364,"Constellation NewEnergy Canada, Inc."
365,"Constellation NewEnergy Canada, Inc."
366,Constellation NewEnergy Inc.
367,Consumers Energy Company
368,Consumers' Co-operative Refineries Limited
369,Consumers' Co-operative Refineries Limited
370,Consumers' Gas (Canada) Ltd.
371,County of Vermilion River No. 24 Gas Utility
372,County of Vermilion River No. 24 Gas Utility
373,County of Vermilion River No. 24 Gas Utility
374,"COYNE PROPANE, LLC"
375,CP Energy Marketing Inc
376,CP Energy Marketing Inc
377,CP Energy Marketing Inc (formerly EPCOR Merchant and Capital Inc.)
378,"CP Energy Marketing Inc., as general partner, on behalf of CP Energy Marketing L.P."
379,"CP Energy Marketing Inc., as general partner, on behalf of CP Energy Marketing L.P."
380,"CP Energy Marketing Inc., as general partner, on behalf of CP Energy Marketing L.P."
381,CP Energy Services (Canada) Inc
382,CP Energy Services Canada Inc
383,CPD Alaska LLC
384,"CPV Three Rivers, LLC"
385,Crescent Point Energy Corp.
386,Crescent Point Energy Corp.
387,Crescent Point Resources Ltd
388,"Crowley LNG, Inc."
389,Crowley Petroleum Distribution Alaska LLC
390,CryoAlta Inc
391,Cryopeak LNG Solutions Corporation
392,Crystal Flash Limited Partnership of Michigan
393,Cyanamid Canada Pipeline Inc
394,Dartmouth Power Associates Limited Partnership
395,Dawn Gateway Pipeline General Partner Inc
396,DB Commodities Canada Ltd.
397,"DC Energy Dakota, LLC"
398,DC Energy LLC
399,DCP Midstream
400,Dead River Company
401,Dead River Company
402,DEGT Midstream Management Corporation
403,Delphi Energy Corp
404,Delphi Energy Corporation
405,Delphi Energy Corporation
406,Denali Canada
407,Dennis Bradford Mullins
408,"Detroit Edison Company, The"
409,Devon Canada Corporation
410,Devon Canada Corporation
411,Devon Canada Corporation
412,Devon Canada Crude Marketing Corporation
413,Direct Commodities Trading Inc.
414,"Direct Energy Business Marketing, LLC"
415,Direct Energy Marketing Inc.
416,Direct Energy Marketing Limited
417,Direct Energy Marketing Limited
418,Direct Energy Marketing Limited
419,Direct Energy Marketing Limited
420,Direct Energy Marketing Limited
421,DK CANADA ENERGY ULC
422,DMEnergy Canada Inc.
423,Dome Kerrobert Pipeline Ltd.
424,Dome NGL Pipeline Ltd.
425,Dome NGL Pipelines Ltd.
426,Dome Petroleum Limited
427,Dome Petroleum Limited
428,Domtar Inc.
429,Domtar Inc.
430,Dow Chemical Canada ULC
431,DR Four Beat Energy Corp.
432,"DTE Energy Trading, Inc."
433,"DTE Energy Trading, Inc."
434,DTE Gas Company
435,DTE Gas Company
436,Duke Energy Empress Management Inc. (Changed to Spectra Energy Empress Management Inc.)
437,Duke Energy Field Services Canada L.P.
438,Duke Energy Gas Transmission
439,Duke Energy Marketing Canada Corp.
440,Duke Energy Marketing Canada Ltd.
441,"Duke Energy Ohio, Inc."
442,Dynasty Power Inc.
443,"Dynegy Gas Imports, LLC"
444,"Dynegy Power Marketing, Inc."
445,E.ON Global Commodities North America LLC
446,"Eagle Energy Partners I, L.P."
447,Eagle Rock Exploration Ltd
448,"East Coast Power and Gas, LLC"
449,Eastern Maine Electric Cooperative Inc
450,Echoex Energy Inc.
451,EDF Trading North America LLC
452,EDF Trading North America LLC
453,"EDF Trading North America, LLC"
454,"EDF Trading North America, LLC"
455,Elbow River Marketing Corp on behalf of Elbow River Marketing Limited Partnership
456,Elbow River Marketing Corp on behalf of Enlbow River Marketing Limited Partnership
457,Elbow River Marketing Limited Partnership
458,Elbow River Marketing Ltd.
459,Elbow River Marketing Ltd.
460,Elbow River Marketing USA Ltd
461,Element Americas Inc.
462,"EM Energy Ohio, LLC"
463,"EM Energy Pennsylvania, LLC"
464,Emera Brunswick Pipeline Company Ltd.
465,Emera Brunswick Pipeline Company Ltd.
466,Emera Brunswick Pipeline Company Ltd.
467,Emera Energy GP Inc. on behalf of Emera Energy LP (tranferred from Emera Energy Inc.)
468,Emera Energy Inc
469,Emera Energy Inc. (changed to Emera Energy GP Inc. on behalf of Emera Energy LP)
470,Emera Energy Services Inc.
471,Enable Energy Marketing Ltd
472,Enbridge Bakken Limited Partnership
473,"Enbridge Bakken Pipeline Company Inc., on behalf of Enbridge Bakken Pipeline Limited Partnership"
474,"Enbridge Bakken Pipeline Company Inc., on behalf of Enbridge Bakken Pipeline Limited Partnership"
475,Enbridge G and P Canada Pipelines Inc.
476,Enbridge G and P Canada Pipelines Inc.
477,Enbridge G and P Canada Pipelines Inc.
478,Enbridge Gas Distribution Inc.
479,Enbridge Gas New Brunswick Limited Partnership by its general partner Enbridge Gas New Brunswick Inc
480,Enbridge Gas Services Inc
481,Enbridge Pipelines (NW) Inc.
482,Enbridge Pipelines (NW) Inc.
483,Enbridge Pipelines (Westspur) Inc.
484,Enbridge Pipelines (Westspur) Inc.
485,Enbridge Pipelines (Westspur) Inc.
486,Enbridge Pipelines Inc.
487,Enbridge Pipelines Inc.
488,Enbridge Pipelines Southern Lights GP Inc.
489,Enbridge Southern Lights GP Inc. (On behalf of Enbridge Southern Lights LP)
490,Enbridge Southern Lights GP Inc. (On behalf of Enbridge Southern Lights LP)
491,EnCana Border Pipelines Limited
492,EnCana Border Pipelines Limited
493,Encana Corporation
494,EnCana Corporation
495,EnCana Corporation
496,EnCana Corporation
497,EnCana Corporation
498,EnCana Corporation
499,EnCana Corporation (previously PanCanadian Energy Corp.)
500,EnCana Cypress Pipeline Ltd.
501,EnCana Ekwan Pipeline Inc.
502,EnCana Ekwan Pipeline Inc.
503,EnCana Midstream & Marketing Partnership
504,EnCana Midstream & Marketing Partnership
505,EnCana Oil & Gas Co. Ltd.
506,EnCana Oil & Gas Ltd.
507,EnCana Oil & Gas Partnership
508,EnCana Suffield Gas Pipelines Inc.
509,Enco Gas Ltd
510,"Endure Energy, L.L.C."
511,Enerchem International Inc
512,"Energetix DE, LLC"
513,Energetix Inc
514,ÉNERGIE VALERO INC.
515,ÉNERGIE VALERO INC.
516,Energy East Pipeline Ltd.
517,Energy Plus Natural Gas LLC
518,Energy Source Canada Inc
519,Energy Source Canada Inc
520,Energy Terminal Marketing LLC
521,Energy West Resources
522,"EnergyNorth Natural Gas, Inc."
523,Enerkon Resources Canada
524,Enermark Inc.
525,Enerplus Corporation acting on behalf of the Enerplus Partnership
526,"Engage Energy US, LP"
527,Engelhart CTP (US) LLC
528,Engelhart CTP (US) LLC
529,Engelhart CTP (US) LLC
530,"ENGIE Energy Marketing NA, Inc."
531,"Enhanced Energy Services of America, LLC"
532,ENMAX Energy Marketing Inc.
533,ENN Canada Corporation
534,Enserco Energy Inc
535,Enserco Energy Inc
536,Enserco Energy LLC
537,Enserco Energy LLC
538,Enserco Energy LLC
539,"Enserco Midstream, LLC"
540,Enstor Energy Services LLC
541,"Entergy-Koch Trading Canada, ULC"
542,Enviro Express Inc
543,Envision Resources Ltd. Co.
544,EPCOR Merchant and Capital Inc.
545,EPLP Energy Services (Canada) Inc.
546,EPLP Energy Services (Canada) Inc.
547,Equinor Marketing & Trading (US) Inc.
548,Equinor Natural Gas LLC
549,Essex Gas Company d/b/a National Grid
550,Esso Resources Canada Limited
551,Ethane Shippers Joint Venture (Windsor Storage Facility Joint Venture)
552,"Exelon Generation Company, LLC"
553,"Exelon Generation Company, LLC"
554,"Exelon Generation Company, LLC ""Exelon"""
555,Express Pipeline Ltd
556,Express Pipeline Ltd
557,Express Pipeline Ltd.
558,"Express Pipeline Ltd., as the general partner of Express Holdings (Canada) Limited Partnership"
559,ExxonMobil Canada Energy
560,ExxonMobil Canada Export Trading LLC
561,ExxonMobil Canada Ltd.
562,ExxonMobil Canada Ltd.
563,ExxonMobil Canada Properties
564,ExxonMobil Canada Properties
565,ExxonMobil Canada Properties
566,ExxonMobil Export Corporation
567,ExxonMobil Oil Corporation
568,Exxonmobil Sales and Supply LLC
569,Factor Energy (U.S.) Inc.
570,Factor Energy US Inc
571,Factor Gas Liquids Inc.
572,Factor Gas Liquids Inc.
573,Family Energy Inc
574,Family Energy Inc.
575,Fathom Energy Inc
576,FB Energy Canada Corp
577,FB Energy Canada Corp.
578,Federated Pipe Lines (Northern) Ltd
579,Ferrell North America
580,Ferrell North America
581,Ferus Natural Gas Fuels (CNG) LLC
582,"Ferus Natural Gas Fuels (CNG), LLC"
583,Ferus Natural Gas Fuels Inc.
584,Ferus Natural Gas Fuels LP
585,FET Energy Ltd.
586,First Commodities International Inc. (changed name to First Commodities Ltd.)
587,First Commodities Ltd. (formerly First Commodities International Inc.)
588,Fletcher Challenge Energy Canada Inc.
589,Flint Hills Resources Canada ULC
590,"Flint Hills Resources Canada, LP"
591,"Flint Hills Resources Canada, LP, by its general partner, Flint Hills Resources Canada, ULC"
592,"Flint Hills Resources, LP"
593,Foothills Pipe Lines (Alberta) Ltd
594,Foothills Pipe Lines (South BC) Ltd
595,Foothills Pipe Lines (Yukon) Ltd
596,Foothills Pipe Lines Ltd
597,Foothills Pipe Lines Ltd
598,Fortis Energy Marketing and Trading GP (formerly Cinergy Marketing and Trading LP)
599,FortisBC Energy Inc. (formerly Terasen Gas Inc.)
600,FortisBC Energy Inc. (Formerly Terasen Gas Inc.)
601,FortisBC Huntingdon Inc
602,FortisBC Huntingdon Inc.
603,FortisBC Huntingdon Inc.
604,FortisBC Inc.( Formerly Aquila Networks Canada (BC) Ltd.)
605,FortisOntario Inc. (formerly Canadian Niagara Power Inc.)
606,Fortress Energy Inc
607,Forty Mile Gas Co-op Ltd.
608,Forty Miles Gas Co-op Ltd
609,"Four Sisters Petroleum,LLC"
610,FPL Energy Power Marketing Inc (changed name to NextEra Energy Power Marketing LLC)
611,Fraser Paper Inc.
612,Fraser Paper Inc. (Canada)
613,Freepoint Commodities LLC
614,Freepoint Commodities LLC
615,Freepoint Commodities LLC
616,Freepoint Commodities LLC
617,Freepoint Commodities Trading and Marketing LLC
618,Frontier Oil & Refining Company
619,Fuelgarden LNG AS
620,Gas Supply Resources Holdings Inc
621,Gas Supply Resources Inc
622,Gascana Inc.
623,Gavilon LLC
624,"Gavilon, LLC"
625,Gaz Métro / Gaz de France / Enbridge Inc.
626,Gaz Metro Solutions Transport (2015) inc a titre d'associee commanditee de Gaz Metro Solutions Transport S.E.C.
627,Gaz Métro Solutions Transport SEC
628,Gaz naturel Tugliq Québec Inc.
629,Gazoduc Trans Quebec & Maritimes Inc
630,GCL Ventures Ltd
631,"GDF SUEZ Energy Marketing NA, Inc."
632,GDF SUEZ Gas NA LLC
633,Genesis Pipeline Canada Ltd.
634,Genesis Pipeline Canada Ltd.
635,Genesis Pipeline Canada Ltd.
636,GEORGE E. WARREN LLC
637,Georgia Strait Crossing Pipeline Limited
638,Gestion Énergie Québec inc
639,Gestion Énergie Québec inc.
640,GFL Environmental Inc.
641,Gibson Energy Partnership
642,Gibson Energy Partnership
643,Gibson Energy ULC
644,Gibson Energy ULC
645,"Gibson Energy ULC, Managing Partner of Gibson Energy Partnership"
646,"Gibson Energy ULC, Managing Partner of Gibson Energy Partnership"
647,"Gibson Energy ULC, Managing Partner of Gibson Gas Liquids Partnership"
648,"Gibson Energy ULC, Managing Partner of MP Energy Partnership"
649,"Gibson Energy ULC, Managing Partners of Gibson Liquids Partnership"
650,Gibson Energy ULC. Managing Partner of Gibson Energy Partnership
651,"Gibson Gas Liquids, Managing Partner of Gibson Energy Partnership"
652,Glencoe Resources Ltd.
653,Glencore Ltd
654,Glencore Ltd
655,Glencore Ltd.
656,Glenogle Energy Inc.
657,Glenogle Energy Inc.
658,Glenogle Energy Inc.
659,Global Companies LLC
660,Global Companies LLC
661,Global Energy Marketing II LLC
662,Global Energy Marketing LLC
663,"Global Gas, Inc."
664,Global Partners Energy Canada ULC
665,Global Partners Energy Canada ULC
666,Global Petroleum Marketing Inc
667,GNL Québec Inc.
668,GOETZ ENERGY CORPORATION
669,Gra Ham Energy Limited
670,Grand Trunk Western Railroad Company (formerly St. Clair Tunnel Company)
671,"Great Bay Energy VI, LLC"
672,Green Tech Finance Inc.
673,Greenergy Fuels Canada Inc.
674,"Greenfield Energy Centre LP, by its general partner CM Greenfield Power Corp."
675,Griffith Energy Inc
676,"GRIZZLY OIL SANDS, ULC"
677,Gulf Canada Resources Limited
678,Gulf Oil Limited Partnership
679,Gulfstream Trading Ltd.
680,H2O Power G.P. Inc. /Commandité H2O Énergie Inc. on behalf of H2O Power Limited Partnership /Société en Commandite H2O Énergie
681,H2O Power G.P. Inc. /Commandité H2O Énergie Inc. on behalf of H2O Power Limited Partnership /Société en Commandite H2O Énergie
682,Hartland Fuel Products LLC
683,"Hartland Fuel Products, LLC"
684,"Hartland Fuel Products, LLC"
685,"Hartland Fuel Products, LLC"
686,Hartree Partners LP
687,Hartree Partners LP
688,Hartree Partners LP
689,Harvest Operations Corp.
690,Hawaii Independent Energy LLC
691,Heartland Generation Ltd.
692,Hess Canada Gas Ltd
693,Hess Corporation
694,"Hess Energy Marketing, LLC"
695,"Hess Energy Trading Company, LLC"
696,"Hess Energy Trading Company, LLC"
697,"Hess Energy Trading Company, LLC"
698,"High Desert Refining, LLC"
699,"High Desert Refining, LLC"
700,High Sierra Energy Canada ULC
701,Highlands Fuel Delivery LLC
702,Holly Refining and Marketing Company
703,HollyFrontier Companies
704,HollyFrontier Refining & Marketing LLC
705,Hostetler Midstream Consulting LLC
706,Houston Refining LP
707,Hudson Energy Company
708,Hunt Crude Oil Supply Company
709,Hunt Crude Oil Supply Company LLC
710,"Hunt Oil Company of Canada, Inc"
