link,submitter,date,name
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3768103,St. Clair Pipelines Management Inc.,2019-04-17,A98920-1 Letter - A6T6I9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3768519,National Energy Board,2019-04-17,A98929-1 NEB Letter - Order RO-EPE-438 - Tracel Energy Marketing Inc. - revocation of Electricity Export Permit - A6T6T0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3756153,National Energy Board,2019-03-15,A98346-1 NEB – Letter – Errata to NEB Reconsideration Report MH-052-2018 – Trans Mountain Expansion - A6S7J8
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754946,National Energy Board,2019-03-04,A98169-1 Letter - TransCanada - Keystone XL - IR No. 3 - A6S4T7
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3754598,National Energy Board,2019-02-20,A97977-1 NEB Letter - All Parties - Reconsideration - Trans Mountain Expansion - Release of the National Energy Board Reconsideration Report - MH-052-2018 - A6S1I2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3747780,TransCanada PipeLines Limited,2019-01-22,A97476-1 Cover Letter NBJ LTFP Application - A6R3A0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3747559,National Energy Board,2019-01-21,A97456-1 NEB - Letter - TransCanada - Keystone XL - OC-56 Pre-Construction Conditions - A6R2U1
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3746509,Northland Power Energy Marketing (US) Inc.,2019-01-15,A97304-1 Letter - A6R0A8
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3745726,"Westcoast Energy Inc., doing business as Spectra Energy Transmission",2019-01-08,A97110-1 Letter to NEB re Publication of Notice of Hearing - A6Q7R2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3745436,National Energy Board,2019-01-07,A97076-1 NEB – Letter – TMPU – Order FRO-002-2017 Replacement Plan – Comment Process - A6Q7G2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3737844,National Energy Board,2018-12-19,A96844-1 NEB – Letter – Powerex Corp. – Electricity Export Permit - A6Q3Q1
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3723600,Michael Hale,2018-12-14,A96688-2 Yarrow Ecovillage Opening Statement NEB Re-review of TMX - A6Q1D6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3723665,National Energy Board,2018-12-13,A96658-1 NEB - Ruling No. 1 - Westcoast - T-South 2018 - A6Q0R3
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3719201,Pro Information Pro Environment United People Network,2018-12-05,A96485-1 Pro Information Pro Environment united People Netowrk Opening Statement - A6L7S3
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3719031,Pro Information Pro Environment United People Network,2018-12-05,A96486-1 Reconsideration Hearing MH 052 2018 DIRECT EVIDENCE Pro Information Pro Environment United People Network - A6L7T2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3716425,Trans Québec - Maritimes Pipeline Inc.,2018-11-29,"A96206-1 TQM - Updated Toll Schedules Effective January 1, 2019 - A6L1S3"
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3717178,National Energy Board,2018-11-27,A96155-1 NEB - Letter - Trans Mountain - TMEP - Abeyance of Orders and Application Processes - A6L0Y0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3700955,Commenters,2018-11-16,A95783-37 Letter - A6K5Q5
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3691863,National Energy Board,2018-11-09,A95613-1 NEB – Letter - ExxonMobil – Potential Conditions for Comment - MH-047-2018 - A6K2R6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3691744,National Energy Board,2018-11-09,A95614-1 NEB - Letter to Encana – Potential Conditions for comment - Deep Panuke - MH-049-2018 - A6K2S1
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3691800,National Energy Board,2018-11-06,A95496-1 Letter to NOVA Gas Transmission Ltd. Buffalo Creek B3 and Goodfish A2 Compressor Station - Legislated Time Limit and Decision on Process - A6K0Q3
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3644654,Ferus Natural Gas Fuels Inc.,2018-10-31,A95279-1 Letter - A6J6F1
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3643299,National Energy Board,2018-10-29,A95187-4 ONÉ Annexe 1 - agrandissement du réseau de Trans Mountain - Réexamen - motifs de la navigation maritime entre le TMW et la limite de la mer territoriale de 12 milles marins - A6J4X4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3642435,National Energy Board,2018-10-29,A95187-3 NEB Appendix 1 - Trans Mountain Expansion - Reconsideration - reasons for marine shipping between the WMT and the 12-nautical-mile territorial sea limit - A6J4X5
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3643527,Commenters,2018-10-26,A95149-37 Letter - A6J4A1
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3643846,Commenters,2018-10-24,A95108-19 Letter - A6J3A6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3643177,Commenters,2018-10-24,A95108-4 Letter - A6J2Y8
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3642299,Commenters,2018-10-24,A95108-17 Letter - A6J3A4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3611651,Shelina Sidi,2018-10-03,"A94477-1 Reconsideration Comments on Four Matters in Response to National Energy Board Letter of September 25, 2018 - A6I2F8"
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3610561,Raincoast Conservation Foundations and Living Oceans Society,2018-10-03,A94473-1 2018 10 03 - Letter to NEB re reconsideration - Final - A6I2F1
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3611160,Trans Mountain Pipeline ULC,2018-09-21,A94120-1 Letter to NEB re Abeyance Request 21Sep2018 - A6H7C1
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3610486,National Energy Board,2018-09-12,A93983-1 NEB – Letter – Participants - MH-047-2018 and MH-049-2018 – SOEP/Deep Panuke - Adjournment of OTE - A6H4S7
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3612459,Powerex Corp.,2018-09-06,"A93901-1 Ltr to NEB encl La Source tear sheet, September 6, 2018 - A6H3K7"
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3614640,National Energy Board,2018-08-27,A92783-5 NEB - Letter to TEML Westpur Pipelines Limited - Errata for Order MO-063-2018 - A6H1G5
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3593887,National Energy Board,2018-08-07,A93404-1 NEB Letter to All Companies - Recommendations to Improve Quality Assurance of Quenched and Tempered Pipelines Fittings - White Paper - A6G6C3
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3592753,National Energy Board,2018-07-24,A93220-13 NEB – Letter to English River Dene Nation – NOVA Gas – Wiau Lake North Sales Meter Station - A6G3I6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3580248,Mi'gmawe'l Tplu'taqnn Incorporated,2018-07-19,A93129-1 Letter - A6G1W1
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3581212,National Energy Board,2018-07-18,A93088-1 NEB – Letter – ExxonMobil - Completeness and Timelines - SOEP - MH-047-2018 - A6G1H2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3580777,"Tracel Energy Marketing Inc., on behalf of Tracel Energy Marketing Limited Partnership 1",2018-07-18,A93064-1 Letter - A6G0U2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3580018,National Energy Board,2018-07-17,A93053-1 NEB – Letter – ExxonMobil. - MH-047-2018 - A6G0Q2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3579573,Squamish Nation,2018-07-16,A93022-2 Squamish Traditional Use and Occupancy Study - A6G0C8
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3578138,Powerex Corp.,2018-07-11,A92927-1 Letter - A6F8X0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3579985,National Energy Board,2018-07-05,A92839-1 NEB Letter - NGTL - 2021 System Expansion - Notice of Public Hearing and Application to Participate - A6F7S6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3577889,National Energy Board,2018-06-28,A92750-1 NEB – Letter – Encana – Deep Panuke – Notice of Public Hearing and Application to Participate - A6F6F5
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3571242,Block 41 Landowner Group,2018-05-30,A92205-1 Ltr to NEB - May 30-18 - A6E8J2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3572880,National Energy Board,2018-05-29,A92163-1 NEB - Letter - ExxonMobil - Sable - Notice of Public Hearing and Application to Participate - A6E7V5
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3560666,National Energy Board,2018-04-27,A91530-1 NEB Letter - TransCanada - Station 130 C4 Unit Addition - A6D7R8
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3558906,National Energy Board,2018-04-27,A91544-1 NEB - Letter - Westcoast - Orders XG-W102-014-2018 and MO-050-2018 - Kobes 3 - A6D7W0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3561210,National Energy Board,2018-04-26,A91516-1 Letter - A6D7H6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3558230,Trans Mountain Pipeline ULC,2018-04-24,A91441-1 TM Letter to NEB re Musqueam Late Application to Participate - A6D5Z9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3540286,National Energy Board,2018-04-19,"A91386-1 NEB Procedural Update No.4 Segment 5 - Hearing schedule, witnesses, attendees, exhibit forms - Trans Mountain Expansion - A6D5E4"
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3543220,National Energy Board,2018-04-12,A91210-1 NEB - Letter - Asini Wachi Nehiyawak (Mountain Cree) - NOVA Gas - Dismal Creek North - Letter dated 11 March 2018 - A6D2E6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3542884,National Energy Board,2018-04-10,A91161-1 NEB - Westcoast - Kobes 3 Pipe Replacement - Legislated Time Limit and Decision on Process - A6D1J5
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3542070,National Energy Board,2018-03-27,A90822-1 NEB - PU No. 1 - Manitoba Hydro - EH-001-2017 - Oral Traditional Evidence - A6C6E2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3520075,National Energy Board,2018-03-22,A88768-5 NEB - Letter and Errata - Westcoast - MO-059-2017 - Fireweed Pipeline - A6C4S2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3517008,Trans Mountain Pipeline ULC,2018-03-21,A90715-1 TM Letter to NEB - Request to confirm status of route hearing for Mr. Breckenridge - A6C4F0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3516663,Pacific Traverse Energy,2018-03-19,A90648-1 Letter to NEB re Publication Confirmation - A6C2R7
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3514022,National Energy Board,2018-03-19,A90653-1 NEB - Letter - Cargill Energy - RO-EPE-373 - A6C2W0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3507546,National Energy Board,2018-03-16,A90612-1 NEB – Notice of Public Hearing and Application to Participate to TransCanada – 2018 to 2020 Mainline Tolls - A6C2A9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3501707,National Energy Board,2018-03-09,A90505-1 NEB - Letter - TransCanada - Block 41 - Station 130 C4 - Motion to Compel - A6C0F4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3489060,Barbara Rabis,2018-02-26,A90198-1 Update - TC Website - TCPL EM Corporate Program Manual Revision 21 - Eng and Fr Redacted - 2018-02-26 - A6A5X7
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3487630,National Energy Board,2018-02-26,A90204-1 NEB - Letter - TransCanada - Block 41 - City of Vaughan - Station 130 C4 - Notion of Motion - A6A5Z9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3461510,National Energy Board,2018-02-14,A90001-1 NEB - Ruling No. 4 - Manitoba Hydro - EH-001-2017 - A6A3A6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3464138,Kinder Morgan Cochin ULC and Kinder Morgan Utopia Ltd.,2018-02-12,"A89939-1 Kinder Morgan Response to NEB Information Request No. 1 - MO-014-2016, Compliance 2-12-18 - A6A1Z5"
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3462376,National Energy Board,2018-02-12,A89945-1 NEB Letter to Manitoba Hydro - AO-005-EC-III-16 - Riel International Power Line - A6A2D9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3463917,National Energy Board,2018-02-09,A89926-2 ONÉ Lettre - Ordonnances AO-003-OC-49 et AO-004-OC-2 - Trans Mountain - modification visant le réservoir no 9 au terminal Edmonton et les stations de pompage Wolf et Niton - A6A1U9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3462277,National Energy Board,2018-02-09,A89926-1 NEB Letter - Orders AO-003-OC-49 and AO-004-OC-2 - Trans Mountain - Variance for Edmonton Terminal Tank 9 and Wolf and Niton Pump Stations - A6A1V0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3408235,National Energy Board,2018-01-05,A89012-1 NEB - Ruling No. 3 - Manitoba Hydro - EH-001-2017 - A5Y9K0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3411209,National Energy Board,2018-01-03,A88974-1 NEB Letter - Westcoast - Variance of MO-043-2017 - Decommission Exhisting Conntection Boundary Lake - A5Y8U6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3411398,National Energy Board,2017-12-21,A88851-1 NEB - Letter - Manitoba Hydro - MMTP - Hearing Order EH-001-2017 - A5Y6X8
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3393317,National Energy Board,2017-12-12,A88550-1 NEB – Letter – NOVA Gas – Report Release – Albersun – GHW-001-2016 - A5Y2D6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3392853,National Energy Board,2017-12-07,A88474-1 NEB - Letter - Trans Mountain Expansion Project - NCQ - A5Y0K2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3392279,Attorney General of Alberta,2017-11-30,A88307-1 Cover Letter - A5X7S8
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3392493,National Energy Board,2017-11-28,A88235-1 NEB - Procedural Matters for the Hearing - Parties RH-001-2017 - A5X6R4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3389620,National Energy Board,2017-11-27,A88204-1 NEB - Letter - Trans Mountain Expansion Project - NCQ - Oral Hearing Details and Guidance - A5X6F9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3390922,National Energy Board,2017-11-21,A88044-1 NEB – Release Letter– TransCanada – Dawn LTFP – RH-003-2017 - A5X3V0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3384777,National Energy Board,2017-11-16,A87893-1 NEB Letter - Abandonment Funding Reporting Form – Appendix XVI - A5X1J3
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3355646,David J. Huntley,2017-11-10,A87712-1 Letter - A5W8U2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3355115,National Energy Board,2017-11-10,A87729-1 NEB Letter Abandonment Costs Estimate Review - Technical Conference – Agenda and Updates and List of Registrants - A5W9A0
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3354764,National Energy Board,2017-11-08,A87647-1 NEB – Letter – Trans Mountain – Expansion Project - Line 2 Design Temperature - A5W7X7
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3353228,"Booker (MH-008-2017), Thomas",2017-11-08,A87659-1 A87485-1 Procedural Update No - A5W8C4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3356509,National Energy Board,2017-11-03,A87557-1 NEB - Letter - Proposed Schedule Not Accepted - TMX - NCQ - A5W6K2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3336422,National Energy Board,2017-10-10,A86729-1 NEB - Letter - Nexus - EPE-430 - 10-year Electricity Permit A5V3U7
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3337929,National Energy Board,2017-10-06,A86635-1 NEB - Letter - Enbridge - Secure Energy Connection - Kerrobert Terminal - Legislated Time Limit and Decision on Process - A5V2R4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3337381,National Energy Board,2017-10-06,A86645-1 NEB – Letter to Comment Process Participants – NOVA Gas – North Montney Mainline - A5V2T6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3337980,National Energy Board,2017-09-25,A86263-1 NEB - Letter - CPC - Revocation Order RO-EPE-341 - A5U4J6
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3330133,Trans Mountain Pipeline ULC,2017-09-14,A86020-1 Trans Mountain Letter to NEB re Segment 1 and 2 Notice Publication Dates - A5U1Q9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3330894,"St. Lawrence Gas Company, Inc.",2017-09-12,"A85963-1 St. Lawrence Gas Company, Inc. Request to Intervene - A5U0I8"
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3329023,National Energy Board,2017-09-11,A85897-1 NEB – Letter and Notice of Public Hearing MH-031-2017 to NOVA Gas – North Montney Mainline - A5T9L2
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3330562,National Energy Board,2017-09-08,A85931-1 NEB - Letter - MercuriaCCC - EPE-429 - Electricity Export Permit - A5T9Y4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3323141,Trans Mountain Pipeline ULC,2017-09-07,A85882-1 Trans Mountain Letter re Spread 1 and 2 Publications - A5T9F7
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3321465,National Energy Board,2017-09-01,"A85808-1 NEB Letter to Parties - Concordance tables - Energy East, Eastern Mainline - A5T8F7"
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3322546,Robyn Allan,2017-08-25,A85670-1 Trans Mountain Financial Assurances Letter 2 - A5T5H7
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3320560,National Energy Board,2017-08-23,A85619-1 NEB Letter to Interested Persons - List of Issues and EA Factors Document - Energy Est and Eastern Mainline - A5T4L9
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3309612,National Energy Board,2017-08-15,A85487-1 NEB - Letter - NEBC Producers - A5T1Q1
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3309811,Trans Mountain Pipeline ULC,2017-08-02,A85282-1 Trans Mountain to NEB Letter re sample substituted service advertisement - A5S8T4
https://apps.cer-rec.gc.ca/REGDOCS/File/Download/3310123,National Energy Board,2017-07-31,A85219-1 NEB - Letter - Permit EPE-428 - 2001RBCP - A5S6S9
